surface_form,entry_type,pinyin,tone,definition,radical,stroke_count,hsk_level,frequency_rank,note
복도,word,bokdo,,A corridor,,,B,2574,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2366; source_complexity=B; pos=명; classification=noun; hanja_ref=複道; senses=1
수상,word,susang,,The prime minister,,,B,2575,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2367; source_complexity=B; pos=명; classification=noun; hanja_ref=首相; senses=1
쓰러지다,word,sseureojida,,"Fall, collapse",,,C,2576,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2368; source_complexity=C; pos=동; classification=verb; senses=1
영상,word,yeongsang,,"An image [picture], reflection (moving pictures, movies); above zero",,,C,2578,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2369, 5870; source_complexity=C, B; pos=명; classification=noun; hanja_ref=映像, 零上; senses=2"
영혼,word,yeonghon,,"A soul, a spirit",,,C,2579,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2370; source_complexity=C; pos=명; classification=noun; hanja_ref=靈魂; senses=1
운전사,word,unjeonsa,,The driver (of a taxi),,,C,2580,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2371; source_complexity=C; pos=명; classification=noun; hanja_ref=運轉士; senses=1
자랑스럽다,word,jarangseureopda,,To be proud,,,B,2581,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2372; source_complexity=B; pos=형; classification=adjective; senses=1
잠깐,word,jamkkan,,For a little while,,,A,2582,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2373, 2396; source_complexity=A; pos=명, 부; classification=noun, adverb; senses=1"
적당하다,word,jeokdanghada,,To be appropriate,,,B,2583,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2374; source_complexity=B; pos=형; classification=adjective; hanja_ref=適當-; senses=1
적용되다,word,jeogyongdoeda,,To be applied,,,C,2584,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2375; source_complexity=C; pos=동; classification=verb; hanja_ref=適用-; senses=1
지속적,word,jisokjeok,,Continuous,,,C,2586,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2377; source_complexity=C; pos=명; classification=noun; hanja_ref=持續的; senses=1
진행하다,word,jinhaenghada,,"Advance, proceed",,,B,2587,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2378; source_complexity=B; pos=동; classification=verb; hanja_ref=進行-; senses=1
차별,word,chabyeol,,"distinction,differentiation",,,C,2588,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2379; source_complexity=C; pos=명; classification=noun; hanja_ref=差別; senses=1
곳곳,word,gosgos,,Everywhere,,,B,2589,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2380; source_complexity=B; pos=명; classification=noun; senses=1
구분,word,gubun,,A division or section,,,C,2590,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2381; source_complexity=C; pos=명; classification=noun; hanja_ref=區分; senses=1
금지,word,geumji,,Forbidden or prohibitted,,,B,2591,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2382; source_complexity=B; pos=명; classification=noun; hanja_ref=禁止; senses=1
내지,word,naeji,,From A to B,,,B,2592,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2383; source_complexity=B; pos=부; classification=adverb; hanja_ref=乃至; senses=1
달려오다,word,dallyeooda,,Come running,,,B,2593,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2384; source_complexity=B; pos=동; classification=verb; senses=1
둘러보다,word,dulleoboda,,"to look around, to take a glance around",,,B,2594,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2385; source_complexity=B; pos=동; classification=verb; senses=1
분노,word,bunno,,"rage,anger",,,C,2595,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2386; source_complexity=C; pos=명; classification=noun; hanja_ref=憤怒; senses=1
비교,word,bigyo,,A comparison,,,B,2596,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2387; source_complexity=B; pos=명; classification=noun; hanja_ref=比較; senses=1
소위,word,sowi,,What is called for,,,C,2598,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2388; source_complexity=C; pos=부; classification=adverb; hanja_ref=所謂; senses=1
스치다,word,seuchida,,Graze past,,,C,2599,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2389; source_complexity=C; pos=동; classification=verb; hanja_ref=살짝닿다; senses=1
역사적,word,yeoksajeok,,Historical,,,B,2601,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2390; source_complexity=B; pos=명; classification=noun; hanja_ref=歷史的; senses=1
열차,word,yeolcha,,Train,,,B,2602,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2391; source_complexity=B; pos=명; classification=noun; hanja_ref=列車; senses=1
요즈음,word,yojeueum,,"Recently, nowadays",,,A,2603,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2392; source_complexity=A; pos=명; classification=noun; senses=1
유난히,word,yunanhi,,"uncommon,exceptional",,,B,2604,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2393; source_complexity=B; pos=부; classification=adverb; senses=1
의무,word,uimu,,"A duty, an obligation",,,C,2605,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2394; source_complexity=C; pos=명; classification=noun; hanja_ref=義務; senses=1
잃어버리다,word,ilheobeorida,,To lose,,,A,2606,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2395; source_complexity=A; pos=동; classification=verb; senses=1
잠들다,word,jamdeulda,,Fall asleep,,,B,2608,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2397; source_complexity=B; pos=동; classification=verb; senses=1
정식,word,jeongsik,,"Formality, due form",,,B,2609,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2398; source_complexity=B; pos=명; classification=noun; hanja_ref=正式; senses=1
조용하다,word,joyonghada,,"To be quiet,still",,,A,2610,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2399; source_complexity=A; pos=형; classification=adjective; senses=1
즉시,word,jeuksi,,"At once,immediately",,,B,2611,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2400; source_complexity=B; pos=명; classification=noun; hanja_ref=卽時; senses=1
최선,word,choeseon,,"The best, one’s best",,,B,2612,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2401; source_complexity=B; pos=명; classification=noun; hanja_ref=最善; senses=1
탑,word,tap,,A tower,,,B,2613,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2402; source_complexity=B; pos=명; classification=noun; hanja_ref=塔; senses=1
한복,word,hanbok,,Korean traditional clothing,,,A,2614,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2403; source_complexity=A; pos=명; classification=noun; hanja_ref=韓服; senses=1
활동하다,word,hwaldonghada,,"To be active, lead an active life",,,B,2615,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2404; source_complexity=B; pos=동; classification=verb; hanja_ref=活動-; senses=1
건축,word,geonchuk,,Construction or building or erection,,,B,2616,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2405; source_complexity=B; pos=명; classification=noun; hanja_ref=建築; senses=1
귀엽다,word,gwiyeopda,,To be cute,,,B,2617,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2406; source_complexity=B; pos=형; classification=adjective; senses=1
답답하다,word,dapdaphada,,Feel anxious,,,B,2618,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2407; source_complexity=B; pos=형; classification=adjective; senses=1
당황하다,word,danghwanghada,,Be confused,,,B,2619,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2408; source_complexity=B; pos=동; classification=verb; hanja_ref=唐慌-; senses=1
동일하다,word,dongilhada,,"(to be) the same, identical, equal",,,C,2620,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2409; source_complexity=C; pos=형; classification=adjective; hanja_ref=同一-; senses=1
떨어뜨리다,word,tteoreotteurida,,"to drop, to lose",,,B,2621,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2410; source_complexity=B; pos=동; classification=verb; senses=1
똑같이,word,ttokgati,,"equally, evenly; impartially",,,B,2622,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2411; source_complexity=B; pos=부; classification=adverb; senses=1
라면,word,ramyeon,,"instant noodles, ramen",,,A,2623,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2412; source_complexity=A; pos=명; classification=noun; hanja_ref=&일ramen; senses=1
밀가루,word,milgaru,,Flour,,,B,2625,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2414; source_complexity=B; pos=명; classification=noun; senses=1
바깥,word,bakkat,,Outside,,,B,2626,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2415; source_complexity=B; pos=명; classification=noun; senses=1
바지,word,baji,,Pants,,,A,2627,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2416; source_complexity=A; pos=명; classification=noun; senses=1
벌리다,word,beollida,,"Open, wide",,,B,2628,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2417; source_complexity=B; pos=동; classification=verb; hanja_ref=입을~; senses=1
보고서,word,bogoseo,,Report,,,B,2629,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2418; source_complexity=B; pos=명; classification=noun; hanja_ref=報告書; senses=1
보관하다,word,bogwanhada,,Keep in one’s custody,,,B,2630,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2419; source_complexity=B; pos=동; classification=verb; hanja_ref=保管-; senses=1
부딪치다,word,budijchida,,"Collide with, bump against",,,B,2631,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2420; source_complexity=B; pos=동; classification=verb; senses=1
빨래,word,ppallae,,"washing,laundry",,,B,2632,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2421; source_complexity=B; pos=명; classification=noun; senses=1
상하다,word,sanghada,,"damage,injure",,,B,2633,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2422; source_complexity=B; pos=동; classification=verb; hanja_ref=傷-; senses=1
설치,word,seolchi,,"establisment,institution",,,C,2634,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2423; source_complexity=C; pos=명; classification=noun; hanja_ref=設置; senses=1
식용유,word,sigyongyu,,Food oil,,,B,2635,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2424; source_complexity=B; pos=명; classification=noun; hanja_ref=食用油; senses=1
싫어하다,word,silheohada,,"To dislike, be reluctant (to do)",,,A,2636,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2425; source_complexity=A; pos=동; classification=verb; senses=1
업종,word,eopjong,,Types of industry,,,C,2637,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2426; source_complexity=C; pos=명; classification=noun; hanja_ref=業種; senses=1
연출,word,yeonchul,,"Production, presentation",,,C,2638,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2427; source_complexity=C; pos=명; classification=noun; hanja_ref=演出; senses=1
테이블,word,teibeul,,Table,,,A,2639,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2428; source_complexity=A; pos=명; classification=noun; hanja_ref=table; senses=1
트이다,word,teuida,,"Get cleared out, open up",,,C,2640,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2429; source_complexity=C; pos=동; classification=verb; senses=1
피곤하다,word,pigonhada,,"To be very tired, exhausted",,,A,2641,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2430; source_complexity=A; pos=형; classification=adjective; hanja_ref=疲困-; senses=1
조선말,word,joseonmal,,Korean (language),,,A,2642,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2431, 4932; source_complexity=A; pos=명; classification=noun; hanja_ref=朝鮮-, 朝鮮말; senses=1"
한자,word,hanja,,Chinese Characters adapted into Korean language,,,A,2643,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2432; source_complexity=A; pos=명; classification=noun; hanja_ref=漢字; senses=1
겁,word,geop,,Fear or fright,,,B,2644,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2433; source_complexity=B; pos=명; classification=noun; hanja_ref=怯; senses=1
국제화,word,gukjehwa,,Internationalization,,,C,2647,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2435; source_complexity=C; pos=명; classification=noun; hanja_ref=國際化; senses=1
근육,word,geunyuk,,Muscles,,,C,2648,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2436; source_complexity=C; pos=명; classification=noun; hanja_ref=筋肉; senses=1
깔리다,word,kkallida,,To be spread or overspread,,,C,2650,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2437; source_complexity=C; pos=동; classification=verb; senses=1
사전,word,sajeon,,"beforehand,in advance; dictionary",,,C,2653,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2438, 5011; source_complexity=C, A; pos=명; classification=noun; hanja_ref=事前, 辭典; senses=2"
산소,word,sanso,,Oxygen,,,B,2654,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2439; source_complexity=B; pos=명; classification=noun; hanja_ref=酸素; senses=1
석유,word,seogyu,,Petroleum,,,B,2655,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2440; source_complexity=B; pos=명; classification=noun; hanja_ref=石油; senses=1
소리치다,word,sorichida,,"To shout, yell",,,B,2656,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2441; source_complexity=B; pos=동; classification=verb; senses=1
신선하다,word,sinseonhada,,Fresh,,,B,2658,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2443; source_complexity=B; pos=형; classification=adjective; hanja_ref=新鮮-; senses=1
안경,word,angyeong,,Glasses,,,A,2659,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2444; source_complexity=A; pos=명; classification=noun; hanja_ref=眼鏡; senses=1
약속하다,word,yaksokhada,,To make a promise,,,A,2660,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2445; source_complexity=A; pos=동; classification=verb; hanja_ref=約束-; senses=1
연합,word,yeonhap,,"Combination, federacy, union",,,C,2661,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2446; source_complexity=C; pos=명; classification=noun; hanja_ref=聯合; senses=1
인격,word,ingyeok,,"Personality, character",,,C,2663,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2447; source_complexity=C; pos=명; classification=noun; hanja_ref=人格; senses=1
조심하다,word,josimhada,,To be careful,,,B,2666,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2450; source_complexity=B; pos=동; classification=verb; hanja_ref=操心-; senses=1
질,word,jil,,"Quality, character",,,B,2667,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2451; source_complexity=B; pos=명; classification=noun; hanja_ref=質; senses=1
찌르다,word,jjireuda,,"stab,thrust",,,B,2668,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2452; source_complexity=B; pos=동; classification=verb; senses=1
책임자,word,chaegimja,,Person responsible,,,B,2669,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2453; source_complexity=B; pos=명; classification=noun; hanja_ref=責任者; senses=1
총,word,chong,,"all,entire,whole; gun; rifle; machine gun",,,C,2670,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2454, 4245; source_complexity=C; pos=관, 명; classification=attributive, noun; hanja_ref=總, 銃; senses=2"
취미,word,chwimi,,Hobby,,,A,2671,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2455; source_complexity=A; pos=명; classification=noun; hanja_ref=趣味; senses=1
품목,word,pummok,,"The name of an article, a list of articles",,,C,2673,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2457; source_complexity=C; pos=명; classification=noun; hanja_ref=品目; senses=1
확대되다,word,hwakdaedoeda,,To be magnified,,,B,2674,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2458; source_complexity=B; pos=동; classification=verb; hanja_ref=擴大-; senses=1
거실,word,geosil,,Living room,,,B,2675,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2459; source_complexity=B; pos=명; classification=noun; hanja_ref=居室; senses=1
논,word,non,,A rice field,,,C,2677,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2460; source_complexity=C; pos=명; classification=noun; senses=1
덥다,word,deopda,,"Be hot, heated",,,A,2678,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2461; source_complexity=A; pos=형; classification=adjective; senses=1
바보,word,babo,,Ignorant,,,B,2680,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2463; source_complexity=B; pos=명; classification=noun; senses=1
보람,word,boram,,"worth,result",,,B,2682,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2465; source_complexity=B; pos=명; classification=noun; senses=1
부작용,word,bujagyong,,"reaction,side effect",,,B,2683,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2466; source_complexity=B; pos=명; classification=noun; hanja_ref=副作用; senses=1
비난,word,binan,,"Criticism, reproach",,,C,2684,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2467; source_complexity=C; pos=명; classification=noun; hanja_ref=非難; senses=1
신고,word,singo,,"A statement,declaration",,,B,2687,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2468; source_complexity=B; pos=명; classification=noun; hanja_ref=申告; senses=1
야구,word,yagu,,Baseball,,,A,2688,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2469; source_complexity=A; pos=명; classification=noun; hanja_ref=野球; senses=1
어떡하다,word,eotteokhada,,"To take some measures, to manage somehow",,,B,2689,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2470; source_complexity=B; pos=불; classification=expression; hanja_ref=어떠하게하다; senses=1
예상,word,yesang,,"Expectation, anticipation; forecast, preconception, prenotion",,,B,2690,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2471; source_complexity=B; pos=명; classification=noun; hanja_ref=豫想; senses=1
위협,word,wihyeop,,"Menace, threat, intimidation",,,C,2691,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2472; source_complexity=C; pos=명; classification=noun; hanja_ref=威脅; senses=1
잠기다,word,jamgida,,Sink in water,,,C,2696,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2475; source_complexity=C; pos=동; classification=verb; hanja_ref=물에~; senses=1
주고받다,word,jugobatda,,"Give and receive, exchange",,,C,2698,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2476; source_complexity=C; pos=동; classification=verb; senses=1
주먹,word,jumeok,,Fist,,,B,2699,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2477; source_complexity=B; pos=명; classification=noun; senses=1
지지,word,jiji,,"support,backing",,,C,2700,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2478; source_complexity=C; pos=명; classification=noun; hanja_ref=支持; senses=1
털다,word,teolda,,"To shake off, brush up",,,B,2701,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2479; source_complexity=B; pos=동; classification=verb; senses=1
경고,word,gyeonggo,,Warning,,,C,2702,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2480; source_complexity=C; pos=명; classification=noun; hanja_ref=警告; senses=1
공개하다,word,gonggaehada,,Open to the public,,,C,2703,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2481; source_complexity=C; pos=동; classification=verb; hanja_ref=公開-; senses=1
과목,word,gwamok,,A subject or a lesson,,,B,2704,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2482; source_complexity=B; pos=명; classification=noun; hanja_ref=科目; senses=1
구경,word,gugyeong,,An enjoyable sight or spectacle,,,A,2705,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2483; source_complexity=A; pos=명; classification=noun; senses=1
그분,word,geubun,,That person (respectful),,,A,2706,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2484; source_complexity=A; pos=대; classification=pronoun; senses=1
근무,word,geunmu,,Duty or service or work,,,B,2707,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2485; source_complexity=B; pos=명; classification=noun; hanja_ref=勤務; senses=1
논쟁,word,nonjaeng,,"Controversy, argument",,,C,2708,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2486; source_complexity=C; pos=명; classification=noun; hanja_ref=論爭; senses=1
달아나다,word,daranada,,"Escape, flee",,,B,2710,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2487; source_complexity=B; pos=동; classification=verb; senses=1
묶다,word,mukkda,,"bind,tie",,,B,2711,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2488; source_complexity=B; pos=동; classification=verb; senses=1
성명,word,seongmyeong,,"A declaration,statement",,,C,2712,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2489; source_complexity=C; pos=명; classification=noun; hanja_ref=聲明; senses=1
소스,word,soseu,,Sauce,,,B,2713,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2490; source_complexity=B; pos=명; classification=noun; hanja_ref=sauce; senses=1
수십,word,susip,,Tens of sth,,,C,2714,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2491; source_complexity=C; pos=관; classification=attributive; hanja_ref=數十; senses=1
신다,word,sinda,,"Put on, wear",,,A,2715,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2492; source_complexity=A; pos=동; classification=verb; senses=1
우리말,word,urimal,,Korean (language),,,B,2716,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2493; source_complexity=B; pos=명; classification=noun; senses=1
유교,word,yugyo,,Confucianism,,,B,2717,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2494; source_complexity=B; pos=명; classification=noun; hanja_ref=儒敎; senses=1
이불,word,ibul,,"Bedding, bed clothes",,,B,2718,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2495; source_complexity=B; pos=명; classification=noun; senses=1
이성,word,iseong,,"Reason, reasoning; opposite sex",,,B,2719,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2496, 5639; source_complexity=B, C; pos=명; classification=noun; hanja_ref=理性, 異性; senses=2"
일상,word,ilsang,,"Everyday, usual, ordinary",,,B,2720,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2497; source_complexity=B; pos=명; classification=noun; hanja_ref=日常; senses=1
자동,word,jadong,,"self-acting, self-moving, automatic",,,B,2721,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2498; source_complexity=B; pos=명; classification=noun; hanja_ref=自動; senses=1
장래,word,jangrae,,The future,,,B,2722,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2499; source_complexity=B; pos=명; classification=noun; hanja_ref=將來; senses=1
전개되다,word,jeongaedoeda,,"To be unfolded,spread out",,,C,2723,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2500; source_complexity=C; pos=동; classification=verb; hanja_ref=展開-; senses=1
죄송하다,word,joesonghada,,"regret,be sorry for",,,A,2724,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2501; source_complexity=A; pos=형; classification=adjective; hanja_ref=罪悚-; senses=1
중요성,word,jungyoseong,,"importance,gravity",,,B,2725,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2502; source_complexity=B; pos=명; classification=noun; hanja_ref=重要性; senses=1
탤런트,word,taelleonteu,,Talent,,,B,2727,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2504; source_complexity=B; pos=명; classification=noun; hanja_ref=talent; senses=1
특별히,word,teukbyeolhi,,Especially,,,B,2728,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2505; source_complexity=B; pos=부; classification=adverb; hanja_ref=特別-; senses=1
품질,word,pumjil,,The quality of the article ( but not the article itself),,,C,2729,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2506; source_complexity=C; pos=명; classification=noun; hanja_ref=品質; senses=1
회견,word,hoegyeon,,"An interview, a meeting",,,C,2730,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2507; source_complexity=C; pos=명; classification=noun; hanja_ref=會見; senses=1
훔치다,word,humchida,,To steal,,,C,2731,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2508; source_complexity=C; pos=동; classification=verb; hanja_ref=물건을~; senses=1
흔적,word,heunjeok,,"traces,signs,evidences",,,C,2732,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2509; source_complexity=C; pos=명; classification=noun; hanja_ref=痕跡; senses=1
고전,word,gojeon,,A classic in literature,,,C,2733,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2510; source_complexity=C; pos=명; classification=noun; hanja_ref=古典; senses=1
과학적,word,gwahakjeok,,Scientifically,,,B,2734,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2511; source_complexity=B; pos=명; classification=noun; hanja_ref=科學的; senses=1
구분하다,word,gubunhada,,To divide or to classify,,,C,2735,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2512; source_complexity=C; pos=동; classification=verb; hanja_ref=區分-; senses=1
뇌,word,noe,,Brains,,,C,2739,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2514; source_complexity=C; pos=명; classification=noun; hanja_ref=腦; senses=1
봉투,word,bongtu,,Envelope,,,B,2741,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2515; source_complexity=B; pos=명; classification=noun; hanja_ref=封套; senses=1
분명,word,bunmyeong,,Obviousness,,,B,2742,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2516; source_complexity=B; pos=부; classification=adverb; hanja_ref=分明; senses=1
사설,word,saseol,,An editorial,,,C,2743,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2517; source_complexity=C; pos=명; classification=noun; hanja_ref=社說; senses=1
승리,word,seungri,,A victory,,,C,2744,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2518; source_complexity=C; pos=명; classification=noun; hanja_ref=勝利; senses=1
좌우,word,jwau,,Left and right,,,C,2748,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2519; source_complexity=C; pos=명; classification=noun; hanja_ref=左右; senses=1
추억,word,chueok,,Memory,,,B,2752,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=2522; source_complexity=B; pos=명; classification=noun; hanja_ref=追憶; senses=1
